region_id,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_u_ap_I_1or2_sty_blk_Ds,OPDs_F_u_ap_I_1or2_sty_blk_Ps,OPDs_F_u_ap_I_3_sty_blk_Dwgs,OPDs_F_u_ap_I_3_sty_blk_Psns,OPDs_F_u_ap_I_4_m_sty_blk_Ds,OPDs_F_u_ap_I_4_m_sty_blk_Ps,OPDs_Flt_un_apt_Att_house_Ds,OPDs_Flt_un_apt_Att_house_Ps,OPDs_Flt_unit_apart_Tot_Dwgs,OPDs_Flt_unit_apart_Tot_Psns,OPDs_Oth_dw_Cvn_cab_hboat_Ds,OPDs_Oth_dw_Cvn_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA3629,2796,7437,73,127,0,0,73,127,453,662,0,0,0,0,0,0,453,662,171,247,0,3,5,7,176,257,6,17,3504,8500,408,0,3912,8500
POA3630,9032,23981,521,928,64,147,585,1075,1170,1882,4,8,3,4,3,0,1180,1894,38,56,0,3,14,33,52,92,6,5,10855,27047,1096,0,11951,27047
POA3631,3221,9218,8,20,3,0,11,20,23,45,0,0,0,0,3,3,26,48,70,110,0,0,0,0,70,110,3,5,3331,9401,345,0,3676,9401
POA3633,201,562,5,16,0,0,5,16,0,0,0,0,0,0,0,0,0,0,7,15,0,0,4,3,11,18,0,0,217,596,12,0,229,596
POA3634,595,1629,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,8,0,0,595,1647,64,0,659,1647
POA3635,240,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,240,606,31,0,271,606
POA3636,1864,4683,36,58,0,4,36,62,173,222,0,0,0,0,0,0,173,222,9,8,0,3,10,16,19,27,3,4,2095,4998,266,0,2361,4998
POA3637,229,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,5,8,0,0,234,646,38,0,272,646
POA3638,724,1791,5,8,0,3,5,11,49,56,0,0,0,0,0,0,49,56,19,24,4,4,4,16,27,44,0,0,805,1902,133,0,938,1902
POA3639,203,442,8,7,0,3,8,10,3,3,0,0,0,0,0,0,3,3,6,13,0,0,0,0,6,13,0,0,220,468,63,0,283,468
POA3640,380,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,380,1082,47,0,427,1082
POA3641,400,993,0,4,0,0,0,4,10,10,0,0,0,0,0,0,10,10,4,4,0,0,0,0,4,4,0,0,414,1011,90,0,504,1011
POA3644,2954,7466,93,133,8,26,101,159,233,358,0,0,0,0,0,0,233,358,55,82,0,3,7,22,62,107,0,0,3350,8090,466,0,3816,8090
POA3646,297,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,0,0,300,730,63,0,363,730
POA3649,158,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,3,0,7,11,0,0,165,421,19,0,184,421
POA3658,1973,5175,55,73,3,6,58,79,28,48,3,0,0,0,0,0,31,48,0,5,13,33,5,9,18,47,0,0,2080,5349,274,0,2354,5349
POA3659,282,714,0,9,3,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,723,68,0,353,723
POA3660,2608,6301,73,119,5,17,78,136,189,250,0,0,0,0,4,3,193,253,21,24,0,4,11,21,32,49,0,3,2911,6742,352,0,3263,6742
POA3662,249,822,0,0,19,67,19,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,889,24,0,292,889
POA3663,17,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,144,59,144,0,0,76,193,9,0,85,193
POA3664,379,917,3,5,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,922,77,0,459,922
POA3666,1835,4162,11,17,3,4,14,21,125,157,0,0,0,0,0,0,125,157,17,28,8,10,6,24,31,62,3,0,2008,4402,516,0,2524,4402
POA3669,434,948,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,3,3,3,3,0,0,6,6,0,0,443,957,76,0,519,957
POA3670,262,622,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,3,0,0,0,3,0,0,0,265,627,64,0,329,627
POA3672,3644,8586,304,423,0,0,304,423,272,392,0,0,0,0,4,3,276,395,18,24,3,0,14,39,35,63,0,3,4259,9470,618,0,4877,9470
POA3673,579,1406,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,6,0,3,3,3,0,0,3,6,0,0,585,1418,152,0,737,1418
POA3675,534,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,15,3,5,10,20,4,3,548,1409,78,0,626,1409
POA3677,5928,14478,348,471,9,25,357,496,669,939,0,0,0,0,0,0,669,939,27,42,0,0,25,50,52,92,0,0,7006,16005,799,0,7805,16005
POA3678,2272,5849,9,12,5,11,14,23,10,15,0,0,0,0,0,0,10,15,20,27,4,10,6,15,30,52,0,0,2326,5939,379,0,2705,5939
POA3682,230,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,9,0,0,234,627,37,0,271,627
POA3683,599,1427,12,15,3,3,15,18,7,10,0,0,0,0,0,0,7,10,18,18,0,0,9,20,27,38,0,0,648,1493,87,0,735,1493
POA3685,860,2082,53,84,0,3,53,87,60,79,0,0,0,0,0,0,60,79,0,0,0,0,10,24,10,24,0,0,983,2272,131,0,1114,2272
POA3687,309,764,31,45,0,0,31,45,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,9,5,12,0,0,345,821,43,0,388,821
POA3688,439,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,442,1187,32,0,474,1187
POA3690,9577,25321,975,1484,51,105,1026,1589,1167,1864,0,0,0,0,6,11,1173,1875,41,55,3,3,11,34,55,92,3,5,11834,28882,990,0,12824,28882
POA3691,2607,7359,17,24,3,5,20,29,4,18,0,0,0,0,3,3,7,21,10,14,0,0,7,9,17,23,0,0,2651,7432,286,0,2937,7432
POA3694,134,369,0,0,0,0,0,0,5,13,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,139,382,11,0,150,382
POA3695,146,407,3,9,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,152,416,29,0,181,416
POA3697,229,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,15,8,15,0,0,237,543,50,0,287,543
POA3698,313,713,7,4,0,0,7,4,0,3,0,0,0,0,0,0,0,3,5,5,0,0,7,18,12,23,0,0,332,743,159,0,491,743
POA3699,345,700,5,12,3,5,8,17,11,24,0,0,3,11,3,0,17,35,0,0,0,0,0,5,0,5,0,0,370,757,268,0,638,757
POA3700,425,993,25,33,0,0,25,33,0,0,0,0,0,0,0,0,0,0,10,14,0,0,4,6,14,20,0,0,464,1046,91,0,555,1046
POA3701,400,982,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,3,5,0,0,3,5,0,0,403,991,206,0,609,991
POA3705,167,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,4,0,0,170,383,71,0,241,383
POA3707,673,1496,0,0,0,0,0,0,17,19,0,0,0,0,0,0,17,19,8,8,0,0,4,20,12,28,0,0,702,1543,159,0,861,1543
POA3709,134,272,0,6,0,0,0,6,4,4,0,0,0,0,0,0,4,4,3,3,0,0,3,3,6,6,0,0,144,288,36,0,180,288
POA3711,94,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,213,60,0,154,213
POA3712,129,280,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,4,14,20,0,0,0,0,14,20,0,3,146,307,65,0,211,307
POA3713,351,733,4,6,0,0,4,6,15,18,0,0,0,0,0,0,15,18,35,44,0,0,0,0,35,44,0,0,405,801,444,0,849,801
POA3714,1256,2851,41,56,0,0,41,56,12,17,0,0,0,0,0,0,12,17,26,41,3,5,9,14,38,60,3,3,1350,2987,371,0,1721,2987
POA3715,123,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,270,143,0,266,270
POA3717,1015,2296,14,23,0,3,14,26,6,5,0,0,0,0,0,0,6,5,37,55,3,0,12,24,52,79,0,0,1087,2406,345,0,1432,2406
POA3719,197,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,5,3,0,0,202,485,100,0,302,485
POA3720,189,446,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,195,458,408,0,603,458
POA3722,1470,3607,181,273,0,0,181,273,43,68,0,0,0,0,0,0,43,68,9,11,0,9,9,13,18,33,0,3,1712,3984,479,0,2191,3984
POA3723,946,2031,6,11,0,3,6,14,7,16,9,33,8,19,0,0,24,68,0,3,6,8,8,11,14,22,0,9,990,2144,1691,0,2681,2144
POA3725,124,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0,127,320,15,0,142,320
POA3726,323,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,8,3,8,9,19,0,0,332,787,78,0,410,787
POA3727,134,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,346,31,0,165,346
POA3728,227,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,545,65,0,292,545
POA3730,2457,6099,190,293,15,31,205,324,309,463,0,0,0,0,0,0,309,463,62,87,0,0,0,0,62,87,9,30,3042,7003,703,0,3745,7003
POA3732,172,392,0,0,0,0,0,0,5,10,0,0,0,0,0,0,5,10,4,3,0,0,0,4,4,7,0,0,181,409,27,0,208,409
POA3733,162,379,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,3,3,0,0,6,7,4,3,172,392,55,0,227,392
POA3735,193,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,490,49,0,242,490
POA3737,1565,3726,32,47,3,6,35,53,75,99,0,0,0,0,0,0,75,99,11,9,5,10,3,18,19,37,0,0,1694,3915,279,0,1973,3915
POA3739,152,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,152,351,33,0,185,351
POA3740,355,862,11,12,0,0,11,12,7,16,0,0,0,0,0,0,7,16,3,10,3,3,0,3,6,16,3,6,382,912,115,0,497,912
POA3741,1015,2318,60,94,19,46,79,140,72,126,5,22,14,39,5,5,96,192,5,21,0,0,9,13,14,34,8,15,1212,2699,794,0,2006,2699
POA3744,109,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,266,68,0,177,266
POA3746,95,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,3,0,0,99,202,28,0,127,202
POA3747,1487,3466,37,65,0,5,37,70,62,90,0,0,0,0,0,3,62,93,7,11,0,0,0,4,7,15,0,0,1593,3644,254,0,1847,3644
POA3749,589,1603,5,4,3,5,8,9,19,26,0,0,0,0,0,0,19,26,5,6,3,3,9,18,17,27,0,0,633,1665,83,0,716,1665
POA3750,177,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,509,22,0,199,509
POA3751,108,310,3,6,0,0,3,6,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,114,319,17,0,131,319
POA3752,5390,17113,454,1214,425,1274,879,2488,127,239,0,0,0,0,0,0,127,239,0,0,0,0,0,0,0,0,0,0,6396,19840,405,0,6801,19840
POA3753,254,802,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,4,6,0,3,258,816,51,0,309,816
POA3754,5646,16910,25,52,93,209,118,261,9,23,0,0,0,3,4,3,13,29,0,0,0,0,0,3,0,3,0,3,5777,17206,653,0,6430,17206
POA3755,98,275,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,101,275,13,0,114,275
POA3756,2563,7830,181,482,8,21,189,503,106,208,0,0,0,0,0,0,106,208,5,11,0,0,0,0,5,11,0,3,2863,8555,289,0,3152,8555
POA3757,2457,7032,115,223,8,23,123,246,24,48,0,0,0,0,0,9,24,57,13,21,18,47,4,8,35,76,3,4,2642,7415,245,0,2887,7415
POA3758,650,2036,0,0,0,0,0,0,0,0,0,0,0,0,5,11,5,11,17,17,0,0,0,0,17,17,0,0,672,2064,62,0,734,2064
POA3759,368,1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,12,6,12,0,0,374,1126,23,0,397,1126
POA3760,130,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,373,4,0,134,373
POA3761,357,1063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6,0,0,357,1069,47,0,404,1069
POA3763,441,1198,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,15,4,5,0,0,7,20,0,0,452,1218,45,0,497,1218
POA3764,2294,6423,104,176,5,10,109,186,130,208,0,0,0,0,5,12,135,220,39,47,3,7,4,8,46,62,0,0,2584,6891,275,0,2859,6891
POA3765,2101,6034,135,193,0,0,135,193,11,13,0,0,0,0,3,6,14,19,0,0,0,0,0,0,0,0,0,0,2250,6246,141,0,2391,6246
POA3766,451,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,454,1133,53,0,507,1133
POA3767,450,1153,3,5,0,0,3,5,5,4,0,0,0,0,3,3,8,7,0,0,0,0,0,0,0,0,0,0,461,1165,58,0,519,1165
POA3770,1038,3016,8,16,0,0,8,16,0,3,0,0,0,0,3,3,3,6,3,0,0,0,0,3,3,3,3,3,1055,3044,77,0,1132,3044
POA3775,1172,3197,11,23,12,15,23,38,19,31,0,0,0,0,0,7,19,38,3,7,9,15,0,0,12,22,0,3,1226,3298,154,0,1380,3298
POA3777,3558,9080,49,67,7,17,56,84,191,272,0,0,11,16,10,15,212,303,36,67,5,4,0,6,41,77,0,0,3867,9544,440,0,4307,9544
POA3778,183,402,0,0,0,0,0,0,3,7,0,0,0,0,0,0,3,7,0,10,3,5,0,0,3,15,0,0,189,424,84,0,273,424
POA3779,79,174,4,6,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,5,9,0,0,88,189,77,0,165,189
POA3781,1416,4046,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,3,3,0,0,3,4,6,7,7,25,1433,4082,115,0,1548,4082
POA3782,2589,7238,14,27,0,0,14,27,29,33,0,0,0,0,3,0,32,33,6,10,3,4,3,3,12,17,0,0,2647,7315,213,0,2860,7315
POA3783,698,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,698,1982,69,0,767,1982
POA3785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3786,528,1442,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,531,1448,76,0,607,1448
POA3787,395,1069,5,8,3,9,8,17,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,403,1089,39,0,442,1089
POA3788,610,1523,0,7,3,12,3,19,15,19,0,0,0,0,0,3,15,22,0,0,0,0,4,3,4,3,0,0,632,1567,94,0,726,1567
POA3789,98,241,3,4,0,0,3,4,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,4,0,0,104,249,27,0,131,249
POA3791,554,1454,8,8,0,0,8,8,3,3,0,0,0,0,0,0,3,3,0,0,0,0,3,6,3,6,0,0,568,1471,52,0,620,1471
POA3792,355,991,0,0,0,4,0,4,0,0,0,0,0,0,6,5,6,5,0,0,0,0,0,0,0,0,0,0,361,1000,40,0,401,1000
POA3793,1192,3181,25,36,3,3,28,39,13,28,0,0,0,0,0,0,13,28,0,0,0,0,0,3,0,3,3,4,1236,3255,72,0,1308,3255
POA3795,409,1172,0,0,0,0,0,0,9,15,0,0,0,0,0,0,9,15,0,4,0,0,0,0,0,4,0,0,418,1191,44,0,462,1191
POA3796,3008,8738,57,108,23,85,80,193,28,58,0,0,0,0,7,15,35,73,0,0,0,0,3,11,3,11,0,0,3126,9015,171,0,3297,9015
POA3797,1025,2682,46,75,0,0,46,75,22,27,0,0,0,0,0,0,22,27,28,37,0,0,0,10,28,47,0,0,1121,2831,145,0,1266,2831
POA3799,2240,5396,8,17,0,5,8,22,21,27,0,0,0,0,10,12,31,39,60,87,3,10,14,19,77,116,0,4,2356,5577,491,0,2847,5577
POA3800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,7,24,0,0,7,24
POA3802,7477,23042,148,357,116,295,264,652,48,102,0,0,0,0,0,0,48,102,0,0,0,0,0,9,0,9,0,0,7789,23805,380,0,8169,23805
POA3803,2778,8453,54,140,173,565,227,705,237,477,0,0,0,0,0,4,237,481,0,0,0,0,3,5,3,5,0,0,3245,9644,176,0,3421,9644
POA3804,1819,6242,18,48,0,0,18,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,1837,6296,88,0,1925,6296
POA3805,15561,49870,601,1569,187,570,788,2139,286,559,3,5,0,0,4,6,293,570,87,120,0,0,0,5,87,125,3,3,16732,52707,754,0,17486,52707
POA3806,13182,39944,730,1368,330,915,1060,2283,615,1055,0,0,0,0,0,0,615,1055,0,0,0,5,4,17,4,22,3,4,14864,43308,939,0,15803,43308
POA3807,1868,6083,124,210,8,25,132,235,13,26,0,0,0,0,0,0,13,26,81,99,0,0,0,5,81,104,6,3,2100,6451,107,0,2207,6451
POA3808,896,2748,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,5,0,4,0,4,4,13,0,0,900,2764,69,0,969,2764
POA3809,561,1583,0,0,35,81,35,81,3,10,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,599,1674,101,0,700,1674
POA3810,10795,31055,641,1183,115,254,756,1437,575,988,0,0,0,0,5,8,580,996,51,74,4,0,4,8,59,82,0,0,12190,33570,1119,0,13309,33570
POA3812,733,2163,5,10,0,0,5,10,10,14,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,0,0,0,748,2187,66,0,814,2187
POA3813,343,1031,0,6,0,0,0,6,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,343,1043,33,0,376,1043
POA3814,634,1774,21,26,0,0,21,26,9,11,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,664,1811,48,0,712,1811
POA3815,908,2620,0,0,0,0,0,0,59,101,0,0,0,0,0,0,59,101,0,0,0,0,6,3,6,3,0,0,973,2724,107,0,1080,2724
POA3816,662,1784,20,33,0,0,20,33,8,12,0,0,0,0,3,0,11,12,14,27,0,0,0,3,14,30,0,0,707,1859,62,0,769,1859
POA3818,3830,10130,398,820,0,3,398,823,163,220,0,3,0,0,7,12,170,235,70,89,0,0,4,15,74,104,0,0,4472,11292,454,0,4926,11292
POA3820,4690,12233,378,555,14,21,392,576,300,431,0,0,0,0,0,3,300,434,45,47,0,0,5,11,50,58,0,0,5432,13301,523,0,5955,13301
POA3821,854,2348,20,63,4,4,24,67,0,5,0,0,0,0,0,0,0,5,7,6,0,0,0,0,7,6,0,0,885,2426,151,0,1036,2426
POA3822,347,979,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,350,979,45,0,395,979
POA3823,653,1620,7,12,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,7,660,1649,94,0,754,1649
POA3824,1603,4026,102,175,0,0,102,175,31,36,0,0,0,0,3,3,34,39,0,0,0,3,0,7,0,10,0,0,1739,4250,252,0,1991,4250
POA3825,6691,16390,598,1246,12,27,610,1273,866,1170,0,0,0,0,4,3,870,1173,31,46,3,11,3,3,37,60,0,0,8208,18896,1204,0,9412,18896
POA3831,488,1258,0,0,4,5,4,5,17,21,0,0,0,0,0,0,17,21,4,6,0,0,4,13,8,19,0,0,517,1303,121,0,638,1303
POA3832,148,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,387,39,0,187,387
POA3833,119,253,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,4,3,4,6,0,0,123,262,178,0,301,262
POA3835,186,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,491,46,0,232,491
POA3840,5716,14045,202,281,9,14,211,295,644,912,3,4,0,0,4,13,651,929,14,14,0,3,8,24,22,41,3,0,6603,15310,839,0,7442,15310
POA3842,1667,4195,0,3,14,41,14,44,41,66,0,0,0,0,0,0,41,66,0,0,0,3,0,0,0,3,0,3,1722,4311,176,0,1898,4311
POA3844,9082,23345,131,227,23,56,154,283,929,1349,10,10,0,0,4,7,943,1366,185,270,11,28,4,10,200,308,3,17,10382,25319,1069,0,11451,25319
POA3847,782,1968,0,0,4,3,4,3,15,23,0,0,0,0,0,0,15,23,9,24,0,3,6,5,15,32,0,0,816,2026,90,0,906,2026
POA3850,4733,11867,480,664,29,46,509,710,286,424,29,56,0,0,0,0,315,480,26,41,0,0,10,14,36,55,0,3,5593,13115,624,0,6217,13115
POA3851,1533,3626,15,27,36,69,51,96,3,4,0,0,0,0,0,0,3,4,8,7,0,0,3,7,11,14,0,0,1598,3740,2073,0,3671,3740
POA3852,20,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,51,0,0,20,51
POA3854,482,1358,3,0,0,0,3,0,9,12,0,0,0,0,0,0,9,12,0,0,0,5,0,0,0,5,0,0,494,1375,47,0,541,1375
POA3856,334,869,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,872,17,0,354,872
POA3857,118,311,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,0,3,0,3,0,3,0,9,0,0,122,323,25,0,147,323
POA3858,1061,2615,12,13,0,0,12,13,33,47,0,0,0,0,0,0,33,47,4,7,3,8,3,3,10,18,0,0,1116,2693,229,0,1345,2693
POA3859,303,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,303,830,38,0,341,830
POA3860,2496,6105,20,35,0,0,20,35,113,152,0,0,0,0,3,3,116,155,3,4,3,7,11,28,17,39,0,0,2649,6334,539,0,3188,6334
POA3862,1105,2757,0,0,0,0,0,0,21,27,0,0,0,0,0,0,21,27,9,12,3,3,9,28,21,43,3,3,1150,2830,244,0,1394,2830
POA3864,138,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,141,360,27,0,168,360
POA3865,159,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,162,376,19,0,181,376
POA3869,511,1358,0,0,3,12,3,12,16,20,0,0,0,0,0,0,16,20,3,3,0,3,0,0,3,6,0,0,533,1396,67,0,600,1396
POA3870,558,1419,0,0,0,0,0,0,12,13,0,0,0,0,0,0,12,13,9,12,3,6,0,0,12,18,0,0,582,1450,131,0,713,1450
POA3871,969,2512,13,14,0,0,13,14,18,17,0,0,0,0,0,0,18,17,3,3,3,3,5,11,11,17,0,0,1011,2560,192,0,1203,2560
POA3873,170,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,173,430,19,0,192,430
POA3874,199,441,3,6,0,0,3,6,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,5,4,0,0,207,451,168,0,375,451
POA3875,5747,14273,155,214,5,14,160,228,591,856,0,0,0,0,0,4,591,860,58,84,3,18,9,11,70,113,3,18,6571,15492,947,0,7518,15492
POA3878,285,643,3,4,0,0,3,4,6,13,0,0,0,0,0,0,6,13,0,5,0,0,0,0,0,5,0,0,294,665,83,0,377,665
POA3880,1290,2833,119,170,5,13,124,183,107,169,0,0,0,0,0,5,107,174,39,57,0,0,0,4,39,61,3,4,1563,3255,817,0,2380,3255
POA3882,349,848,0,0,0,0,0,0,7,4,0,0,0,0,0,0,7,4,30,41,0,0,0,0,30,41,0,0,386,893,48,0,434,893
POA3885,678,1616,3,4,0,0,3,4,10,14,0,0,0,0,3,5,13,19,3,11,0,3,10,17,13,31,0,0,707,1670,108,0,815,1670
POA3886,153,406,3,3,0,0,3,3,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,159,412,25,0,184,412
POA3887,128,302,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,9,10,0,0,0,0,9,10,0,0,137,315,20,0,157,315
POA3888,1467,3388,34,46,0,0,34,46,11,12,0,0,0,0,0,0,11,12,8,13,0,0,0,0,8,13,0,0,1520,3459,434,0,1954,3459
POA3889,124,233,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,3,10,0,5,130,251,150,0,280,251
POA3890,76,141,0,0,0,0,0,0,5,9,0,0,0,0,0,0,5,9,0,0,0,0,3,3,3,3,0,0,84,153,36,0,120,153
POA3891,82,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,3,0,0,86,164,54,0,140,164
POA3892,352,696,0,0,0,0,0,0,98,189,0,0,0,0,0,0,98,189,11,25,0,0,7,14,18,39,0,0,468,924,283,0,751,924
POA3895,79,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,79,149,53,0,132,149
POA3896,166,368,5,3,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,171,374,87,0,258,374
POA3898,212,485,4,9,0,3,4,12,7,13,0,0,0,0,0,0,7,13,3,0,0,3,3,8,6,11,0,3,229,524,296,0,525,524
POA3900,95,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,216,118,0,213,216
POA3902,123,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,41,0,0,0,0,29,41,0,5,152,329,26,0,178,329
