region_id,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_u_ap_I_1or2_sty_blk_Ds,OPDs_F_u_ap_I_1or2_sty_blk_Ps,OPDs_F_u_ap_I_3_sty_blk_Dwgs,OPDs_F_u_ap_I_3_sty_blk_Psns,OPDs_F_u_ap_I_4_m_sty_blk_Ds,OPDs_F_u_ap_I_4_m_sty_blk_Ps,OPDs_Flt_un_apt_Att_house_Ds,OPDs_Flt_un_apt_Att_house_Ps,OPDs_Flt_unit_apart_Tot_Dwgs,OPDs_Flt_unit_apart_Tot_Psns,OPDs_Oth_dw_Cvn_cab_hboat_Ds,OPDs_Oth_dw_Cvn_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA3458,666,1485,3,3,0,0,3,3,17,22,0,0,0,0,0,0,17,22,0,0,0,0,0,3,0,3,0,0,686,1513,335,0,1021,1513
POA3460,1050,2133,51,79,4,10,55,89,39,50,0,0,0,0,0,0,39,50,3,9,0,0,6,9,9,18,0,0,1153,2290,583,0,1736,2290
POA3461,1524,3457,5,9,0,0,5,9,4,3,0,0,0,0,3,6,7,9,5,10,5,3,0,5,10,18,0,0,1546,3493,744,0,2290,3493
POA3462,399,863,13,16,0,0,13,16,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,14,6,18,3,3,421,900,121,0,542,900
POA3463,1115,2494,0,3,3,3,3,6,24,35,0,0,0,0,4,3,28,38,7,9,4,5,15,30,26,44,0,4,1172,2586,292,0,1464,2586
POA3464,418,1031,3,4,0,0,3,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,4,6,7,0,0,427,1042,59,0,486,1042
POA3465,3259,7476,143,205,7,13,150,218,211,284,0,0,0,0,3,3,214,287,33,44,0,0,21,45,54,89,0,0,3677,8070,462,0,4139,8070
POA3467,505,1110,6,5,0,0,6,5,12,12,0,0,0,0,0,0,12,12,10,15,0,0,6,14,16,29,0,3,539,1159,114,0,653,1159
POA3468,89,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,209,41,0,130,209
POA3469,176,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,385,67,0,243,385
POA3472,582,1222,6,5,0,3,6,8,23,26,0,0,0,0,0,0,23,26,18,28,9,17,9,19,36,64,0,0,647,1320,196,0,843,1320
POA3475,116,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,3,8,0,0,119,272,87,0,206,272
POA3477,150,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,4,5,0,0,154,376,74,0,228,376
POA3478,1198,2701,27,32,0,0,27,32,22,34,3,0,0,0,0,0,25,34,10,16,3,0,8,13,21,29,0,0,1271,2796,272,0,1543,2796
POA3480,638,1510,31,37,7,20,38,57,3,0,0,0,0,0,0,0,3,0,4,9,0,0,5,6,9,15,0,3,688,1585,105,0,793,1585
POA3482,165,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,442,48,0,213,442
POA3483,246,566,0,0,3,3,3,3,24,26,0,0,0,0,0,0,24,26,3,7,0,0,3,3,6,10,0,0,279,605,59,0,338,605
POA3485,84,175,3,6,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,181,21,0,108,181
POA3490,403,920,0,7,0,4,0,11,15,14,0,0,0,0,0,0,15,14,4,4,0,0,3,3,7,7,0,0,425,952,102,0,527,952
POA3491,160,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,389,67,0,227,389
POA3494,215,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,31,4,5,0,3,31,39,0,0,246,601,55,0,301,601
POA3496,1977,5107,79,111,3,4,82,115,70,120,0,0,0,0,3,4,73,124,30,43,0,0,0,9,30,52,0,0,2162,5398,290,0,2452,5398
POA3498,1619,4462,63,93,0,0,63,93,38,49,0,0,0,0,0,0,38,49,20,33,0,0,0,0,20,33,0,0,1740,4637,201,0,1941,4637
POA3500,9484,24421,792,1278,66,130,858,1408,1307,2029,3,3,0,0,6,7,1316,2039,161,245,3,4,21,39,185,288,8,18,11851,28174,1281,0,13132,28174
POA3501,608,1799,0,0,0,0,0,0,4,6,0,0,0,0,4,3,8,9,16,23,3,9,3,6,22,38,0,0,638,1846,37,0,675,1846
POA3505,1634,4272,0,5,0,0,0,5,28,47,0,0,0,0,3,3,31,50,38,47,3,3,6,20,47,70,0,0,1712,4397,175,0,1887,4397
POA3507,156,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,159,405,57,0,216,405
POA3509,81,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,81,195,18,0,99,195
POA3512,232,487,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,4,0,4,3,0,6,8,0,0,241,495,78,0,319,495
POA3515,292,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,34,0,0,0,0,21,34,0,4,313,849,24,0,337,849
POA3516,270,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,7,5,10,0,0,275,719,69,0,344,719
POA3517,577,1267,6,10,0,0,6,10,4,4,0,0,0,0,0,0,4,4,10,12,0,0,10,29,20,41,0,0,607,1322,152,0,759,1322
POA3518,544,1151,0,0,0,0,0,0,15,14,0,0,0,0,0,3,15,17,21,20,0,0,4,7,25,27,0,0,584,1195,201,0,785,1195
POA3520,110,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,233,35,0,145,233
POA3521,250,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,683,58,0,308,683
POA3522,154,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,154,389,116,0,270,389
POA3523,1364,2989,21,34,0,0,21,34,42,64,0,0,0,0,3,3,45,67,29,44,6,6,7,18,42,68,0,0,1472,3158,452,0,1924,3158
POA3525,504,1136,9,9,0,3,9,12,18,27,0,0,0,0,0,0,18,27,0,3,0,0,6,10,6,13,0,0,537,1188,127,0,664,1188
POA3527,333,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,5,3,0,3,338,704,75,0,413,704
POA3530,133,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,0,0,136,320,42,0,178,320
POA3531,120,308,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,0,0,123,319,35,0,158,319
POA3533,341,779,0,0,0,0,0,0,7,8,0,0,0,0,0,0,7,8,0,0,0,0,4,3,4,3,0,0,352,790,83,0,435,790
POA3537,424,1000,0,0,0,0,0,0,22,21,0,0,0,0,0,0,22,21,0,0,0,3,10,22,10,25,0,0,456,1046,114,0,570,1046
POA3540,143,335,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,338,37,0,183,338
POA3542,78,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,213,15,0,93,213
POA3544,123,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,126,316,52,0,178,316
POA3546,175,439,0,0,0,0,0,0,6,8,0,0,0,0,0,0,6,8,3,0,0,0,3,6,6,6,0,0,187,453,27,0,214,453
